Symbol,ID,Exp Log Ratio,Exp p-value,Exp False Discovery Rate (q-value),Entrez Gene Name
CKAP2P1,ENSG00000258722,-0.046,9.36E-01, ,cytoskeleton associated protein 2 pseudogene 1
CKAP4,ENSG00000136026,1.232,1.07E-02,1.66E-01,cytoskeleton-associated protein 4
CKAP5,ENSG00000175216,-0.231,2.56E-01,7.30E-01,cytoskeleton associated protein 5
CKB,ENSG00000166165,-1.4,5.34E-03,1.12E-01,"creatine kinase, brain"
CKB,ENSG00000260285,0.074,8.33E-01,9.76E-01,"creatine kinase, brain"
CKBP1,ENSG00000260889, , , ,creatine kinase B pseudogene 1
CKLF,ENSG00000217555,-0.188,6.07E-01,9.19E-01,chemokine-like factor
CKLF-CMTM1,ENSG00000254788,0.462,5.47E-01, ,CKLF-CMTM1 readthrough
CKM,ENSG00000104879,-0.682, , ,"creatine kinase, muscle"
CKMT1A/CKMT1B,ENSG00000223572,0.62,3.94E-01,8.26E-01,"creatine kinase, mitochondrial 1B"
CKMT1A/CKMT1B,ENSG00000237289,-0.041,9.56E-01,9.96E-01,"creatine kinase, mitochondrial 1B"
CKMT2,ENSG00000131730,1.81,9.65E-03,1.56E-01,"creatine kinase, mitochondrial 2 (sarcomeric)"
CKMT2-AS1,ENSG00000247572,0.089,7.39E-01,9.58E-01,CKMT2 antisense RNA 1
CKS1B,ENSG00000173207,-0.569,2.96E-01,7.63E-01,CDC28 protein kinase regulatory subunit 1B
CKS1BP3,ENSG00000268942, , , ,CDC28 protein kinase regulatory subunit 1B pseudogene 3
CKS1BP5,ENSG00000250972,0.135,8.64E-01, ,CDC28 protein kinase regulatory subunit 1B pseudogene 5
CKS1BP6,ENSG00000178556, , , ,CDC28 protein kinase regulatory subunit 1B pseudogene 6
CKS1BP7,ENSG00000254331,-0.448,5.46E-01, ,CDC28 protein kinase regulatory subunit 1B pseudogene 7
CKS2,ENSG00000123975,-0.546,2.47E-01,7.24E-01,CDC28 protein kinase regulatory subunit 2
CLASP1,ENSG00000074054,0.198,3.44E-01,7.98E-01,cytoplasmic linker associated protein 1
CLASP2,ENSG00000163539,-0.046,9.32E-01,9.92E-01,cytoplasmic linker associated protein 2
CLASRP,ENSG00000104859,-0.1,5.00E-01,8.74E-01,CLK4-associating serine/arginine rich protein
CLC,ENSG00000105205, , , ,Charcot-Leyden crystal galectin
CLCA1,ENSG00000016490,0.2,7.75E-01, ,chloride channel accessory 1
CLCA2,ENSG00000137975,2.619,6.42E-06,9.49E-04,chloride channel accessory 2
CLCA3P,ENSG00000153923,0.881,2.20E-01, ,"chloride channel accessory 3, pseudogene"
CLCA4,ENSG00000016602,-0.338,6.33E-01, ,chloride channel accessory 4
CLCC1,ENSG00000121940,-0.149,6.29E-01,9.27E-01,chloride channel CLIC-like 1
CLCF1,ENSG00000175505,1.737,2.25E-03,6.55E-02,cardiotrophin-like cytokine factor 1
CLCN1,ENSG00000188037,-0.046,9.47E-01, ,"chloride channel, voltage-sensitive 1"
CLCN2,ENSG00000114859,-0.456,1.59E-01,6.22E-01,"chloride channel, voltage-sensitive 2"
CLCN3,ENSG00000109572,-0.142,7.13E-01,9.51E-01,"chloride channel, voltage-sensitive 3"
CLCN3P1,ENSG00000232000,0.07,9.22E-01,9.91E-01,"chloride channel, voltage-sensitive 3 pseudogene 1"
CLCN4,ENSG00000073464,0.032,9.51E-01,9.95E-01,"chloride channel, voltage-sensitive 4"
CLCN5,ENSG00000171365,0.226,4.02E-01,8.30E-01,"chloride channel, voltage-sensitive 5"
CLCN6,ENSG00000011021,-0.33,3.26E-01,7.84E-01,"chloride channel, voltage-sensitive 6"
CLCN7,ENSG00000103249,0.23,4.22E-01,8.41E-01,"chloride channel, voltage-sensitive 7"
CLCNKA,ENSG00000186510,-0.029,9.71E-01, ,"chloride channel, voltage-sensitive Ka"
CLCNKB,ENSG00000184908,-0.156,8.39E-01,9.76E-01,"chloride channel, voltage-sensitive Kb"
CLCP1,ENSG00000232305, , , ,Charcot-Leyden crystal protein pseudogene 1
CLCP2,ENSG00000226158,-0.344,5.64E-01, ,Charcot-Leyden crystal protein pseudogene 2
CLDN1,ENSG00000163347,1.159,3.90E-02,3.32E-01,claudin 1
CLDN10,ENSG00000134873,-3.445, , ,claudin 10
CLDN10-AS1,ENSG00000223392, , , ,CLDN10 antisense RNA 1
CLDN11,ENSG00000013297,-0.071,9.20E-01,9.91E-01,claudin 11
CLDN12,ENSG00000157224,0.064,7.79E-01,9.66E-01,claudin 12
CLDN14,ENSG00000159261,1.023,1.68E-01, ,claudin 14
CLDN15,ENSG00000106404,-0.169,4.68E-01,8.59E-01,claudin 15
CLDN16,ENSG00000113946,1.563,9.35E-03,1.53E-01,claudin 16
CLDN17,ENSG00000156282, , , ,claudin 17
CLDN18,ENSG00000066405,0.419,5.65E-01, ,claudin 18
CLDN19,ENSG00000164007,1.045,7.18E-02,4.48E-01,claudin 19
CLDN2,ENSG00000165376,1.915, , ,claudin 2
CLDN20,ENSG00000171217,0.438,5.69E-01, ,claudin 20
CLDN22,ENSG00000177300,-0.365,6.04E-01, ,claudin 22
CLDN23,ENSG00000253958,-0.355,6.48E-01, ,claudin 23
CLDN24,ENSG00000185758, , , ,claudin 24
CLDN25,ENSG00000228607, , , ,claudin 25
CLDN3,ENSG00000165215,-1.542,2.87E-02, ,claudin 3
CLDN34,ENSG00000234469,0.636,4.14E-01, ,claudin 34
CLDN4,ENSG00000189143,1.8,2.25E-03,6.55E-02,claudin 4
CLDN5,ENSG00000184113,-1.824,1.35E-02,1.87E-01,claudin 5
CLDN6,ENSG00000184697,0.414,5.80E-01,9.09E-01,claudin 6
CLDN7,ENSG00000181885,-0.225,7.09E-01, ,claudin 7
CLDN8,ENSG00000156284, , , ,claudin 8
CLDN9,ENSG00000213937,1.039,1.63E-01, ,claudin 9
CLDND1,ENSG00000080822,-0.427,1.64E-01,6.29E-01,claudin domain containing 1
CLDND2,ENSG00000160318,0.429,5.17E-01,8.82E-01,claudin domain containing 2
CLEC10A,ENSG00000132514,-0.061,9.14E-01, ,"C-type lectin domain family 10, member A"
CLEC11A,ENSG00000105472,0.175,8.11E-01,9.72E-01,"C-type lectin domain family 11, member A"
CLEC12A,ENSG00000172322,1.361,8.85E-02, ,"C-type lectin domain family 12, member A"
CLEC12B,ENSG00000256660,0.506,4.02E-01, ,"C-type lectin domain family 12, member B"
CLEC14A,ENSG00000176435,0.241,7.56E-01, ,"C-type lectin domain family 14, member A"
CLEC16A,ENSG00000038532,0.258,4.19E-02,3.43E-01,"C-type lectin domain family 16, member A"
CLEC17A,ENSG00000187912,0.041,9.59E-01, ,"C-type lectin domain family 17, member A"
CLEC18A/CLEC18C,ENSG00000157322,0.223,7.09E-01,9.49E-01,"C-type lectin domain family 18, member A"
CLEC18A/CLEC18C,ENSG00000157335,0.165, , ,"C-type lectin domain family 18, member A"
CLEC18B,ENSG00000140839,-0.046,9.42E-01,9.94E-01,"C-type lectin domain family 18, member B"
CLEC19A,ENSG00000188477,-0.788,1.93E-01,6.63E-01,"C-type lectin domain family 19, member A"
CLEC19A,ENSG00000261210,-0.572,3.98E-01,8.29E-01,"C-type lectin domain family 19, member A"
CLEC1A,ENSG00000150048,0.494,5.36E-01,8.92E-01,"C-type lectin domain family 1, member A"
CLEC1B,ENSG00000165682,1.82,2.24E-02, ,"C-type lectin domain family 1, member B"
CLEC2A,ENSG00000188393,1.738, , ,"C-type lectin domain family 2, member A"
CLEC2B,ENSG00000110852,-0.193,8.02E-01,9.70E-01,"C-type lectin domain family 2, member B"
CLEC2D,ENSG00000069493,-0.138,6.12E-01,9.21E-01,"C-type lectin domain family 2, member D"
CLEC2L,ENSG00000236279,0.601,3.66E-01,8.11E-01,"C-type lectin domain family 2, member L"
CLEC3A,ENSG00000166509,0.924,2.47E-01,7.24E-01,"C-type lectin domain family 3, member A"
CLEC3B,ENSG00000163815,0.912,2.20E-01, ,"C-type lectin domain family 3, member B"
CLEC4A,ENSG00000111729,0.506,2.05E-01,6.77E-01,"C-type lectin domain family 4, member A"
CLEC4C,ENSG00000198178,-0.11,8.89E-01, ,"C-type lectin domain family 4, member C"
CLEC4D,ENSG00000166527,0.356,6.21E-01, ,"C-type lectin domain family 4, member D"
CLEC4E,ENSG00000166523,0.307,5.41E-01, ,"C-type lectin domain family 4, member E"
CLEC4F,ENSG00000152672,-2.661,7.43E-04,3.14E-02,"C-type lectin domain family 4, member F"
CLEC4G,ENSG00000182566,0.487,4.14E-01, ,"C-type lectin domain family 4, member G"
CLEC4GP1,ENSG00000268297,0.259,7.41E-01, ,"C-type lectin domain family 4, member G pseudogene 1"
CLEC4M,ENSG00000104938,-0.103,8.93E-01, ,"C-type lectin domain family 4, member M"
CLEC5A,ENSG00000258227, , , ,"C-type lectin domain family 5, member A"
CLEC6A,ENSG00000205846,0.618,3.38E-01, ,"C-type lectin domain family 6, member A"
CLEC7A,ENSG00000172243,0.509,3.19E-01,7.79E-01,"C-type lectin domain family 7, member A"
CLEC9A,ENSG00000197992,0.135,8.21E-01, ,"C-type lectin domain family 9, member A"
CLECL1,ENSG00000184293, , , ,C-type lectin-like 1
CLGN,ENSG00000153132,-0.454,3.23E-01,7.82E-01,calmegin
CLHC1,ENSG00000162994,-0.282,3.15E-01,7.75E-01,clathrin heavy chain linker domain containing 1
CLIC1,ENSG00000213719,0.546,2.57E-01,7.30E-01,chloride intracellular channel 1
CLIC1,ENSG00000223639, , , ,chloride intracellular channel 1
CLIC1,ENSG00000226248, , , ,chloride intracellular channel 1
CLIC1,ENSG00000226651, , , ,chloride intracellular channel 1
CLIC1,ENSG00000226417, , , ,chloride intracellular channel 1
CLIC1,ENSG00000206394, , , ,chloride intracellular channel 1
CLIC1,ENSG00000230685, , , ,chloride intracellular channel 1
CLIC1P1,ENSG00000231313, , , ,chloride intracellular channel 1 pseudogene 1
CLIC2,ENSG00000155962,0.02,9.61E-01,9.96E-01,chloride intracellular channel 2
CLIC3,ENSG00000169583,0.293,5.52E-01, ,chloride intracellular channel 3
CLIC4,ENSG00000169504,0.551,2.48E-01,7.25E-01,chloride intracellular channel 4
CLIC4P1,ENSG00000236739,2.201,5.86E-03, ,chloride intracellular channel 4 pseudogene 1
CLIC4P2,ENSG00000269546, , , ,chloride intracellular channel 4 pseudogene 2
CLIC4P3,ENSG00000237931,0.307,5.41E-01, ,chloride intracellular channel 4 pseudogene 3
CLIC5,ENSG00000112782,0.484,4.38E-01,8.49E-01,chloride intracellular channel 5
CLIC6,ENSG00000159212,1.095,1.04E-01,5.25E-01,chloride intracellular channel 6
CLINT1,ENSG00000113282,0.486,2.22E-01,6.96E-01,clathrin interactor 1
CLIP1,ENSG00000130779,0.382,3.44E-02,3.12E-01,CAP-GLY domain containing linker protein 1
CLIP1-AS1,ENSG00000257097, , , ,CLIP1 antisense RNA 1
CLIP2,ENSG00000106665,-0.176,6.10E-01,9.20E-01,CAP-GLY domain containing linker protein 2
CLIP3,ENSG00000105270,-0.183,6.28E-01,9.27E-01,CAP-GLY domain containing linker protein 3
CLIP4,ENSG00000115295,0.586,4.48E-02,3.53E-01,"CAP-GLY domain containing linker protein family, member 4"
CLK1,ENSG00000013441,-0.139,5.80E-01,9.09E-01,CDC-like kinase 1
CLK2,ENSG00000176444,-0.426,1.52E-01,6.11E-01,CDC-like kinase 2
CLK2,ENSG00000261893, , , ,CDC-like kinase 2
CLK2P1,ENSG00000232553,-0.362,4.61E-01, ,"CDC-like kinase 2, pseudogene 1"
CLK3,ENSG00000179335,-0.011,9.53E-01,9.95E-01,CDC-like kinase 3
CLK3P2,ENSG00000226191,0.742,3.46E-01, ,CDC-like kinase 3 pseudogene 2
CLK4,ENSG00000113240,-0.039,7.96E-01,9.69E-01,CDC-like kinase 4
CLLU1,ENSG00000257127,-0.056,9.26E-01, ,chronic lymphocytic leukemia up-regulated 1
CLLU1OS,ENSG00000205057, , , ,chronic lymphocytic leukemia up-regulated 1 opposite strand
CLMN,ENSG00000165959,0.039,9.28E-01,9.92E-01,"calmin (calponin-like, transmembrane)"
CLMP,ENSG00000166250,0.981,1.91E-01,6.60E-01,CXADR-like membrane protein
CLN3,ENSG00000188603,-0.072,7.76E-01,9.66E-01,"ceroid-lipofuscinosis, neuronal 3"
CLN3,ENSG00000261832, , , ,"ceroid-lipofuscinosis, neuronal 3"
CLN5,ENSG00000102805,0.21,5.79E-01,9.09E-01,"ceroid-lipofuscinosis, neuronal 5"
CLN6,ENSG00000128973,0.099,8.27E-01,9.76E-01,"ceroid-lipofuscinosis, neuronal 6, late infantile, variant"
CLN8,ENSG00000182372,0.3,4.44E-01,8.50E-01,"ceroid-lipofuscinosis, neuronal 8"
CLNK,ENSG00000109684,0.826,2.67E-01, ,cytokine-dependent hematopoietic cell linker
CLNS1A,ENSG00000074201,-0.396,2.01E-01,6.74E-01,"chloride channel, nucleotide-sensitive, 1A"
CLNS1AP1,ENSG00000213335,0.84,2.92E-01, ,"chloride channel, nucleotide-sensitive, 1A pseudogene 1"
CLOCK,ENSG00000134852,0.284,1.45E-01,5.99E-01,clock circadian regulator
CLP1,ENSG00000172409,0.336,2.42E-01,7.20E-01,cleavage and polyadenylation factor I subunit 1
CLPB,ENSG00000162129,0.015,9.51E-01,9.95E-01,"ClpB homolog, mitochondrial AAA ATPase chaperonin"
CLPP,ENSG00000125656,0.168,3.79E-01,8.18E-01,caseinolytic mitochondrial matrix peptidase proteolytic subunit
CLPS,ENSG00000137392,-0.376,4.48E-01, ,"colipase, pancreatic"
CLPSL1,ENSG00000204140, , , ,colipase-like 1
CLPSL2,ENSG00000196748,-0.332,6.78E-01, ,colipase-like 2
CLPTM1,ENSG00000104853,0.281,2.17E-01,6.91E-01,cleft lip and palate associated transmembrane protein 1
CLPTM1L,ENSG00000049656,0.447,8.07E-02,4.70E-01,CLPTM1-like
CLPTM1LP1,ENSG00000271036, , , , 
CLPX,ENSG00000166855,-0.012,9.53E-01,9.95E-01,caseinolytic mitochondrial matrix peptidase chaperone subunit
CLRN1,ENSG00000163646,0.421,5.85E-01,9.10E-01,clarin 1
CLRN1-AS1,ENSG00000239265,-0.452,5.24E-01, ,CLRN1 antisense RNA 1
CLRN2,ENSG00000249581, , , ,clarin 2
CLRN3,ENSG00000180745,0.326,6.75E-01, ,clarin 3
CLSPN,ENSG00000092853,-0.677,1.46E-01,6.00E-01,claspin
CLSTN1,ENSG00000171603,-0.075,6.86E-01,9.44E-01,calsyntenin 1
CLSTN2,ENSG00000158258,0.764,1.39E-01,5.87E-01,calsyntenin 2
CLSTN2-AS1,ENSG00000250433,0.29,7.06E-01, ,CLSTN2 antisense RNA 1
CLSTN3,ENSG00000139182,0.545,1.86E-01,6.56E-01,calsyntenin 3
CLTA,ENSG00000122705,0.475,5.14E-02,3.77E-01,"clathrin, light chain A"
CLTB,ENSG00000175416,0.515,5.57E-02,3.94E-01,"clathrin, light chain B"
CLTC,ENSG00000141367,0.443,9.70E-03,1.56E-01,"clathrin, heavy chain (Hc)"
CLTCL1,ENSG00000070371,1.3,1.31E-02,1.85E-01,"clathrin, heavy chain-like 1"
CLU,ENSG00000120885,-1.106,9.42E-02,5.02E-01,clusterin
CLUAP1,ENSG00000103351,-0.442,1.54E-01,6.13E-01,clusterin associated protein 1
CLUH,ENSG00000132361,0.234,2.82E-01,7.51E-01,clustered mitochondria (cluA/CLU1) homolog
CLUHP1,ENSG00000238191, , , ,clustered mitochondria (cluA/CLU1) homolog pseudogene 1
CLUHP2,ENSG00000228945,0.301,5.46E-01, ,clustered mitochondria (cluA/CLU1) homolog pseudogene 2
CLUHP3,ENSG00000131797,-0.04,8.97E-01,9.87E-01,clustered mitochondria (cluA/CLU1) homolog pseudogene 3
CLUHP4,ENSG00000249003,0.496,4.09E-01, ,clustered mitochondria (cluA/CLU1) homolog pseudogene 4
CLUHP5,ENSG00000230468,0.289,5.55E-01, ,clustered mitochondria (cluA/CLU1) homolog pseudogene 5
CLUL1,ENSG00000079101,0.237,7.50E-01,9.60E-01,clusterin-like 1 (retinal)
CLVS1,ENSG00000177182,0.063,9.25E-01,9.92E-01,clavesin 1
CLVS2,ENSG00000146352,-0.428,5.32E-01,8.90E-01,clavesin 2
CLYBL,ENSG00000125246,-0.1,7.21E-01,9.53E-01,citrate lyase beta like
CLYBL-AS1,ENSG00000234303, , , ,CLYBL antisense RNA 1
CLYBL-AS2,ENSG00000227659, , , ,CLYBL antisense RNA 2
CMA1,ENSG00000092009, , , ,"chymase 1, mast cell"
CMAHP,ENSG00000168405,2.401, , ,"cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene"
CMAS,ENSG00000111726,0.02,9.35E-01,9.92E-01,cytidine monophosphate N-acetylneuraminic acid synthetase
CMBL,ENSG00000164237,-0.282,5.46E-01,8.97E-01,carboxymethylenebutenolidase homolog (Pseudomonas)
CMC1,ENSG00000187118,-0.003,9.91E-01,9.98E-01,C-x(9)-C motif containing 1
CMC2,ENSG00000103121,0.151,3.58E-01,8.07E-01,C-x(9)-C motif containing 2
CMC4,ENSG00000182712, , , ,C-x(9)-C motif containing 4
CMIP,ENSG00000153815,0.147,7.47E-01,9.60E-01,c-Maf inducing protein
CMKLR1,ENSG00000174600,0.193,8.00E-01,9.70E-01,chemerin chemokine-like receptor 1
CMPK1,ENSG00000162368,0.103,7.31E-01,9.55E-01,"cytidine monophosphate (UMP-CMP) kinase 1, cytosolic"
CMPK2,ENSG00000134326,0.513,3.78E-01,8.18E-01,"cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial"
CMSS1,ENSG00000184220,0.228,2.75E-01,7.45E-01,cms1 ribosomal small subunit homolog (yeast)
CMTM1,ENSG00000089505,0.136,7.00E-01,9.47E-01,CKLF-like MARVEL transmembrane domain containing 1
CMTM2,ENSG00000140932,0.411,5.30E-01, ,CKLF-like MARVEL transmembrane domain containing 2
CMTM3,ENSG00000140931,0.347,4.93E-01,8.73E-01,CKLF-like MARVEL transmembrane domain containing 3
CMTM4,ENSG00000183723,-0.262,4.83E-01,8.67E-01,CKLF-like MARVEL transmembrane domain containing 4
CMTM5,ENSG00000166091,-0.316,6.11E-01, ,CKLF-like MARVEL transmembrane domain containing 5
CMTM6,ENSG00000091317,0.22,6.28E-01,9.27E-01,CKLF-like MARVEL transmembrane domain containing 6
CMTM7,ENSG00000153551,0.558,4.54E-01,8.54E-01,CKLF-like MARVEL transmembrane domain containing 7
CMTM8,ENSG00000170293,-0.417,3.91E-01,8.24E-01,CKLF-like MARVEL transmembrane domain containing 8
CMTR1,ENSG00000137200,-0.045,7.77E-01,9.66E-01,cap methyltransferase 1
CMTR2,ENSG00000180917,-0.123,6.43E-01,9.32E-01,cap methyltransferase 2
CMYA5,ENSG00000164309,-0.141,8.07E-01,9.71E-01,cardiomyopathy associated 5
CNBD1,ENSG00000176571,0.412,5.97E-01, ,cyclic nucleotide binding domain containing 1
CNBD2,ENSG00000149646,-0.08,8.35E-01,9.76E-01,cyclic nucleotide binding domain containing 2
CNBP,ENSG00000169714,-0.233,3.87E-01,8.22E-01,"CCHC-type zinc finger, nucleic acid binding protein"
CNDP1,ENSG00000150656,0.546,2.69E-01,7.39E-01,carnosine dipeptidase 1 (metallopeptidase M20 family)
CNDP2,ENSG00000133313,-0.245,4.88E-01,8.70E-01,CNDP dipeptidase 2 (metallopeptidase M20 family)
CNEP1R1,ENSG00000205423,0.17,4.36E-01,8.47E-01,CTD nuclear envelope phosphatase 1 regulatory subunit 1
CNFN,ENSG00000105427,-0.561,4.60E-01,8.57E-01,cornifelin
CNGA1,ENSG00000198515,2.344,3.31E-03, ,cyclic nucleotide gated channel alpha 1
CNGA2,ENSG00000183862,0.481,4.18E-01, ,cyclic nucleotide gated channel alpha 2
CNGA3,ENSG00000144191,-1.672,8.62E-03,1.47E-01,cyclic nucleotide gated channel alpha 3
CNGA4,ENSG00000132259,-0.656,2.93E-01,7.61E-01,cyclic nucleotide gated channel alpha 4
CNGB1,ENSG00000070729,-1.868,4.36E-04,2.15E-02,cyclic nucleotide gated channel beta 1
CNGB3,ENSG00000170289,-0.376,4.48E-01, ,cyclic nucleotide gated channel beta 3
CNIH1,ENSG00000100528,0.372,2.28E-01,7.06E-01,cornichon family AMPA receptor auxiliary protein 1
CNIH2,ENSG00000174871,-0.126,7.92E-01,9.69E-01,cornichon family AMPA receptor auxiliary protein 2
CNIH3,ENSG00000143786,1.05,8.05E-02,4.69E-01,cornichon family AMPA receptor auxiliary protein 3
CNIH4,ENSG00000143771,0.07,7.64E-01,9.63E-01,cornichon family AMPA receptor auxiliary protein 4
CNKSR1,ENSG00000142675,-0.311,6.10E-01,9.20E-01,connector enhancer of kinase suppressor of Ras 1
CNKSR2,ENSG00000149970,-0.376,4.67E-01,8.59E-01,connector enhancer of kinase suppressor of Ras 2
CNKSR3,ENSG00000153721,0.154,7.89E-01,9.69E-01,CNKSR family member 3
CNN1,ENSG00000130176,3.305,6.25E-10,4.66E-07,"calponin 1, basic, smooth muscle"
CNN2,ENSG00000064666,1.146,3.11E-02,2.95E-01,calponin 2
CNN2P1,ENSG00000227201,0.433,5.57E-01, ,calponin 2 pseudogene 1
CNN2P10,ENSG00000232223, , , ,calponin 2 pseudogene 10
CNN2P11,ENSG00000237383, , , ,calponin 2 pseudogene 11
CNN2P12,ENSG00000204718,0.307,5.41E-01, ,calponin 2 pseudogene 12
CNN2P2,ENSG00000227069,0.289,5.55E-01, ,calponin 2 pseudogene 2
CNN2P3,ENSG00000235832,-0.268,7.14E-01, ,calponin 2 pseudogene 3
CNN2P4,ENSG00000213816, , , ,calponin 2 pseudogene 4
CNN2P6,ENSG00000213854,1.02,1.69E-01, ,calponin 2 pseudogene 6
CNN2P7,ENSG00000215562, , , ,calponin 2 pseudogene 7
CNN2P8,ENSG00000213355,0.309,6.81E-01, ,calponin 2 pseudogene 8
CNN2P9,ENSG00000213149,-0.198,6.90E-01,9.46E-01,calponin 2 pseudogene 9
CNN3,ENSG00000117519,-0.072,8.67E-01,9.82E-01,"calponin 3, acidic"
CNN3P1,ENSG00000218868, , , ,"calponin 3, acidic pseudogene 1"
CNNM1,ENSG00000119946,0.471,4.46E-01,8.50E-01,cyclin and CBS domain divalent metal cation transport mediator 1
CNNM2,ENSG00000148842,0.177,6.43E-01,9.32E-01,cyclin and CBS domain divalent metal cation transport mediator 2
CNNM3,ENSG00000168763,-0.442,1.16E-01,5.48E-01,cyclin and CBS domain divalent metal cation transport mediator 3
CNNM4,ENSG00000158158,-0.088,6.47E-01,9.33E-01,cyclin and CBS domain divalent metal cation transport mediator 4
CNOT1,ENSG00000125107,-0.033,8.87E-01,9.86E-01,"CCR4-NOT transcription complex, subunit 1"
CNOT10,ENSG00000182973,-0.014,9.54E-01,9.96E-01,"CCR4-NOT transcription complex, subunit 10"
CNOT10-AS1,ENSG00000251224,-0.38,4.45E-01, ,CNOT10 antisense RNA 1
CNOT11,ENSG00000158435,0.123,6.70E-01,9.41E-01,"CCR4-NOT transcription complex, subunit 11"
CNOT2,ENSG00000111596,0.096,6.47E-01,9.33E-01,"CCR4-NOT transcription complex, subunit 2"
CNOT3,ENSG00000088038,-0.059,7.55E-01,9.61E-01,"CCR4-NOT transcription complex, subunit 3"
CNOT4,ENSG00000080802,-0.201,3.67E-01,8.12E-01,"CCR4-NOT transcription complex, subunit 4"
CNOT4P1,ENSG00000236704, , , ,"CCR4-NOT transcription complex, subunit 4 pseudogene 1"
CNOT6,ENSG00000113300,-0.153,4.87E-01,8.69E-01,"CCR4-NOT transcription complex, subunit 6"
CNOT6L,ENSG00000138767,-0.018,9.33E-01,9.92E-01,"CCR4-NOT transcription complex, subunit 6-like"
CNOT6LP1,ENSG00000230183,1.507,3.59E-02,3.17E-01,"CCR4-NOT transcription complex, subunit 6-like pseudogene 1"
CNOT7,ENSG00000198791,-0.236,3.72E-01,8.15E-01,"CCR4-NOT transcription complex, subunit 7"
CNOT7P1,ENSG00000233229,-0.376,4.48E-01, ,"CCR4-NOT transcription complex, subunit 7 pseudogene 1"
CNOT7P2,ENSG00000232185, , , ,"CCR4-NOT transcription complex, subunit 7 pseudogene 2"
CNOT8,ENSG00000155508,-0.302,1.87E-01,6.56E-01,"CCR4-NOT transcription complex, subunit 8"
CNP,ENSG00000173786,-0.088,8.14E-01,9.72E-01,"2',3'-cyclic nucleotide 3' phosphodiesterase"
CNPPD1,ENSG00000115649,-0.448,7.91E-02,4.66E-01,cyclin Pas1/PHO80 domain containing 1
CNPY1,ENSG00000146910,0.831,9.87E-02,5.13E-01,canopy FGF signaling regulator 1
CNPY2,ENSG00000257727,-0.074,6.95E-01,9.47E-01,canopy FGF signaling regulator 2
CNPY3,ENSG00000137161,0.009,9.78E-01,9.97E-01,canopy FGF signaling regulator 3
CNPY4,ENSG00000166997,0.097,7.53E-01,9.61E-01,canopy FGF signaling regulator 4
